DATA_RILEVAZIONE,CODICE_PRODOTTO,NOME_PRODOTTO,PREZZO,ACCISA,IVA,NETTO,VARIAZIONE
2006-01-30,8,O.C. denso BTZ,"370,48","31,39",0,"339,09","-5,96"
2006-02-06,1,Benzina,"1.258,18",564,"209,7","484,48","-2,14"
2006-02-06,2,Gasolio auto,"1.157,27",413,"192,88","551,39","-0,08"
2006-02-06,5,GPL,"675,85","156,62","112,64","406,59","0,5"
2006-02-06,3,Gasolio riscaldamento,"1.112,36","403,21","185,39","523,76","1,41"
2006-02-06,6,O.C. fluido BTZ,"707,54","166,84","64,32","476,38","5,22"
2006-02-06,8,O.C. denso BTZ,"380,1","31,39",0,"348,71","9,62"
2006-02-13,1,Benzina,"1.257,92",564,"209,65","484,27","-0,26"
2006-02-13,2,Gasolio auto,"1.157,27",413,"192,88","551,39",0
2006-02-13,5,GPL,"675,85","156,62","112,64","406,59",0
2006-02-13,3,Gasolio riscaldamento,"1.102,37","403,21","183,73","515,43","-9,99"
2006-02-13,6,O.C. fluido BTZ,"708,79","166,84","64,44","477,51","1,25"
2006-02-13,8,O.C. denso BTZ,"383,96","31,39",0,"352,57","3,86"
2006-02-20,1,Benzina,"1.228,36",564,"204,73","459,63","-29,56"
2006-02-20,2,Gasolio auto,"1.137,2",413,"189,53","534,67","-20,07"
2006-02-20,5,GPL,"675,85","156,62","112,64","406,59",0
2006-02-20,3,Gasolio riscaldamento,"1.100,1","403,21","183,35","513,54","-2,27"
2006-02-20,6,O.C. fluido BTZ,"706,96","166,84","64,27","475,85","-1,83"
